curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
270,gompertz,8,8,429.9416180828737,319.7586283817926,35.504999065519925,35.74332369055944,"422.974,0.0381488,47.7569",Arthrobacter simplex,37,TGE agar,CFU
271,logistic,10,10,717.5199362959595,63952.03511941139,93.63303537109576,94.5407906500779,"616.349,0.0429356,124.15",Lactobacillus plantarum,8,MRS broth,N
272,logistic,16,16,1971189300.7278392,8964651607221894.0,549.3516306805822,551.6693968473015,"2.01323e+09,0.0551393,269.921",Lactobacillus plantarum,12,MRS broth,N
273,gompertz,18,18,2119130580.5163813,1.0476632716622584e+18,700.8489986028001,703.5201138764886,"2.08228e+09,0.0636395,85.9492",Lactobacillus plantarum,16,MRS broth,N
274,gompertz,16,16,3546848924.9079823,3.768217948277143e+17,609.1673608895966,611.485127056316,"4.68384e+09,0.0689333,63.2299",Lactobacillus plantarum,20,MRS broth,N
275,gompertz,13,13,7701034596.229615,4.189435543299583e+18,530.083928239137,531.7787763115216,"1.98018e+10,0.102538,34.5391",Lactobacillus plantarum,30,MRS broth,N
276,logistic,9,9,108843.39280161852,1130940.64162838,111.672021239678,112.26369497168666,"217624,0.0249686,383.118",Weissella viridescens,4,MRS broth,N
277,gompertz,20,20,417077005.3895069,998989739222383.6,636.840666998434,639.827863819096,"5.51895e+08,0.0159525,261.762",Weissella viridescens,8,MRS broth,N
278,gompertz,14,14,953024795.1878546,8.183105864280144e+16,514.2612629758988,516.1784349647446,"2.67117e+09,0.0200628,128.019",Weissella viridescens,12,MRS broth,N
279,logistic,17,17,1720052540.3842113,4.539996326231344e+17,649.0022104748209,651.5018505069895,"1.36609e+09,0.187961,71.8291",Weissella viridescens,16,MRS broth,N
280,logistic,15,15,1727792554.735083,1.552340859360983e+17,559.1349060498043,561.2590566531109,"1.69778e+09,0.272929,35.0024",Weissella viridescens,20,MRS broth,N
281,logistic,13,13,1478475687.450505,1.5410614754668582e+17,487.1490927387188,488.8439408111034,"1.47916e+09,0.878056,19.0232",Weissella viridescens,30,MRS broth,N
282,logistic,9,9,50176.0512272645,27520013.66380638,140.39879541177902,140.99046914378766,"99893.6,0.0173782,339.597",Lactobacillus sakei,4,MRS broth,N
283,gompertz,19,19,201415164.59769377,508741517520235.75,593.4519218038192,596.2852387413186,"2.12212e+08,0.0161055,209.606",Lactobacillus sakei,8,MRS broth,N
284,logistic,13,13,938075139.1236762,2.6070620803406266e+17,493.98387522361617,495.6787232960008,"1.52788e+09,0.0443005,145.235",Lactobacillus sakei,12,MRS broth,N
285,gompertz,14,14,1716814217.1784277,2.6440344694001414e+17,530.6807329403663,532.5979049292121,"1.39301e+09,0.096766,54.2913",Lactobacillus sakei,16,MRS broth,N
286,logistic,12,12,1813783309.9173336,1.5474066734020813e+17,451.14744416267433,452.6021641120384,"1.83802e+09,0.374512,42.8482",Lactobacillus sakei,20,MRS broth,N
287,gompertz,11,11,2138812189.813423,6.520772561877834e+17,430.8314858491551,432.02517166755024,"1.52935e+09,0.663355,19.0022",Lactobacillus sakei,30,MRS broth,N
288,logistic,7,7,3.1549788968734,1.3645188461306317,-5.445757933652578,-5.608027486486638,"3.9433,0.00840921,137.585",Oscillatoria agardhii Strain 97,15,Z8,DryWeight
289,logistic,7,7,3.26440282387992,0.7560475799322194,-9.578927821940356,-9.741197374774416,"4.49446,0.00882057,162.453",Oscillatoria agardhii Strain 97,20,Z8,DryWeight
290,cubic,6,6,4.42791344296629,0.2326134535788431,-11.500820018922797,-12.333782142010577,"1.18681,-0.00591579,0.000114159,-1.81011e-07",Oscillatoria agardhii Strain 97,25,Z8,DryWeight
291,cubic,6,6,1.92827735176342,0.0236263704592425,-25.222907605936054,-26.05586972902384,"1.14514,0.00802724,1.15351e-05,-5.74118e-08",Oscillatoria agardhii Strain 97,30,Z8,DryWeight
