curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
23,cubic,21,21,0.2933333333333331,0.0019075325099295712,-187.4358109786792,-183.2577212277855,"0.000796333,0.00357863,-1.18015e-05,1.17516e-08",Chryseobacterium.balustinum,15,TSB,OD_595
23,logistic,21,21,0.2933333333333331,0.004351534328762037,-172.11673350534292,-168.98316619217266,"0.317823,0.0385455,58.1464",Chryseobacterium.balustinum,15,TSB,OD_595
23,gompertz,21,21,0.2933333333333331,0.00574194910513748,-166.29405897182622,-163.16049165865596,"0.318794,0.0275136,40.7212",Chryseobacterium.balustinum,15,TSB,OD_595
24,quadratic,29,29,0.8240000000000002,0.6508409502795921,-104.10678856588808,-100.00490107592866,"0.234682,0.00485477,-8.2013e-06",Enterobacter.sp.,15,TSB,OD_595
24,cubic,29,29,0.8240000000000002,0.3122803576955899,-123.40334252626224,-117.93415920631634,"0.156913,0.0100175,-3.99777e-05,4.68566e-08",Enterobacter.sp.,15,TSB,OD_595
24,logistic,29,29,0.8240000000000002,0.038973476964233374,-185.7529233890721,-181.65103589911269,"0.825572,0.437205,8.87919",Enterobacter.sp.,15,TSB,OD_595
24,gompertz,29,29,0.8240000000000002,0.027496283320887122,-195.86900769653263,-191.76712020657322,"0.832011,0.141753,8.64144",Enterobacter.sp.,15,TSB,OD_595
25,quadratic,27,23,0.701333333333334,0.6786091513809973,-93.45576379033395,-89.56825319232095,"0.216727,0.00298337,-6.67101e-06",Pantoea.agglomerans.1,15,TSB,OD_595
25,cubic,27,23,0.701333333333334,0.1470216254433128,-132.75133634354538,-127.56798887952806,"0.0476784,0.0101628,-4.76982e-05,5.84246e-08",Pantoea.agglomerans.1,15,TSB,OD_595
25,logistic,27,23,0.701333333333334,0.5603965635870761,-98.62358149057837,-94.73607089256538,"0.452897,0.232788,17.8507",Pantoea.agglomerans.1,15,TSB,OD_595
25,gompertz,27,23,0.701333333333334,0.5611716348413432,-98.58626422850577,-94.69875363049277,"0.452628,0.154618,13.6442",Pantoea.agglomerans.1,15,TSB,OD_595
26,quadratic,27,26,0.794666666666667,0.9205000241059441,-85.22422818938723,-81.33671759137425,"0.249453,0.00168486,-4.39515e-06",Pantoea.agglomerans.2,15,TSB,OD_595
26,cubic,27,26,0.794666666666667,0.4152028749361867,-104.72027200134374,-99.53692453732643,"0.0864424,0.00839421,-4.32729e-05,5.61401e-08",Pantoea.agglomerans.2,15,TSB,OD_595
26,logistic,27,26,0.794666666666667,0.8267559199090369,-88.12423108267681,-84.23672048466383,"0.34818,0.689821,11.5117",Pantoea.agglomerans.2,15,TSB,OD_595
