curve_num,curve_id,Species,Temp,Medium,Rep,PopBio_units,n_points,time_min,time_max,pop_min,pop_max
32,"Acinetobacter.clacoaceticus.2_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Acinetobacter.clacoaceticus.2,15,TSB,1,OD_595,25,1.84757505773666,480.369515011547,0.0027405696689759,0.226586605080831
33,"Stenotrophomonas.maltophilia.1_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Stenotrophomonas.maltophilia.1,15,TSB,1,OD_595,23,1.83779268322645,479.226554630107,0.0052701407827817,0.259035404535515
34,"Stenotrophomonas.maltophilia.2_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Stenotrophomonas.maltophilia.2,15,TSB,1,OD_595,23,0.91889634161322,479.236382398467,0.0026227856809413,0.327866637183362
35,"Klebsiella.pneumonia_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Klebsiella.pneumonia,15,TSB,1,OD_595,35,-0.127760988673487,478.956291000221,0.0052947102036808,0.854463035306258
36,"Dickeya.zeae_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Dickeya.zeae,15,TSB,1,OD_595,25,5.4888086287806,479.830962384217,0.0291577602515911,0.724791774157884
37,"Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,15,TSB,1,OD_595,24,-0.0049138841797429,479.56561263851,0.0026350703913911,0.636704257880642
38,"Pantoea.agglomerans..RDA.R._15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pantoea.agglomerans..RDA.R.,15,TSB,1,OD_595,23,0.91889634161322,479.924326183632,0.0026227856809413,0.639671015454167
39,"Dickeya.zeae..RDA.R._15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Dickeya.zeae..RDA.R.,15,TSB,1,OD_595,24,-1.13686837721616e-13,480.369515011547,0.0026666666666659,0.752954580446496
40,"Acinetobacter.clacoaceticus..RDA.R._15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Acinetobacter.clacoaceticus..RDA.R.,15,TSB,1,OD_595,22,-0.923787528868615,479.445727482679,0.0053271747498069,0.176634334103155
41,"Stenotrophomonas.maltophilia..RDA.R._15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Stenotrophomonas.maltophilia..RDA.R.,15,TSB,1,OD_595,23,-0.923787528868615,480.369515011547,0.0053271747498069,0.227621247113164
42,"Klebsiella.pneumonia..RDA.R._15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Klebsiella.pneumonia..RDA.R.,15,TSB,1,OD_595,32,0.923787528868161,479.445727482679,0.0160061585835245,0.77428791377983
43,"Bacillus.pumilus..RDA.R._15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Bacillus.pumilus..RDA.R.,15,TSB,1,OD_595,22,-1.13686837721616e-13,480.369515011547,0.0026666666666663,0.221222478829868
44,"Clavibacter.michiganensis..RDA.R._15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Clavibacter.michiganensis..RDA.R.,15,TSB,1,OD_595,24,-1.13686837721616e-13,479.445727482679,0.0159999999999991,0.553120862201693
